序号,中文名称,分类号,分类,作物ID,成熟状态号,种子物品,种子CMD
1,红包,05,特殊,customcrops:redpacket,0,minecraft:paper,11071
2,火龙果,02,水果,customcrops:pitaya,7,minecraft:paper,82203
3,裸柄鹅膏,03,菌菇,customcrops:amanita_gymnopus,11,minecraft:paper,82111
4,玉米,04,经济作物,customcrops:corn,16,minecraft:paper,82138
5,苹果,02,水果,customcrops:apple,23,未确认,未确认
6,大蒜,01,蔬菜,customcrops:garlic,28,minecraft:paper,82168
7,卷心菜,01,蔬菜,customcrops:cabbage,33,minecraft:paper,821330
8,橙子,02,水果,customcrops:orange,39,minecraft:paper,82193
9,番茄,01,蔬菜,customcrops:tomato,44,minecraft:paper,82230
10,红木蘑菇,03,菌菇,customcrops:rosewood_mushrooms,48,minecraft:paper,82213
11,生菜,01,蔬菜,customcrops:lettuce,52,minecraft:paper,82183
12,金针菇,03,菌菇,customcrops:enoki,56,minecraft:paper,821480
13,香蕉,02,水果,customcrops:banana,62,minecraft:paper,821160
14,茄子,01,蔬菜,customcrops:eggplant,67,minecraft:paper,821430
15,大紫蘑菇,03,菌菇,customcrops:agaricus_augustus,71,minecraft:paper,82101
16,草莓,02,水果,customcrops:strawberry,75,minecraft:paper,82225
17,辣椒,01,蔬菜,customcrops:pepper,81,minecraft:paper,82198
18,林地蘑菇,03,菌菇,customcrops:agaricus_silvaticus_schaeff,85,minecraft:paper,82106
19,大胡萝卜,01,蔬菜,customcrops:bigcarrot,89,minecraft:paper,821230
20,菠萝,02,水果,customcrops:ttl_pineapple,94,minecraft:paper,82240
21,石榴,02,水果,customcrops:promegranate,100,minecraft:paper,822080
22,蓝莓,02,水果,customcrops:blueberry,104,minecraft:paper,821280
23,葡萄,02,水果,customcrops:ttl_grape,109,minecraft:paper,82235
24,啤酒花,04,经济作物,customcrops:hop,114,minecraft:paper,82173
25,白萝卜,01,蔬菜,customcrops:moolis,118,minecraft:paper,82188
26,香菇,03,菌菇,customcrops:lentinus_edodes,122,minecraft:paper,82178
