序号,中文名称,作物ID,种子载体,种子CMD,补种状态,备注
1,红包,customcrops:redpacket,minecraft:paper,11071,已确认,自定义种子
2,火龙果,customcrops:pitaya,minecraft:paper,82203,已确认,自定义种子
3,裸柄鹅膏,customcrops:amanita_gymnopus,minecraft:paper,82111,已确认,自定义种子
4,玉米,customcrops:corn,minecraft:paper,82138,已确认,自定义种子
5,苹果,customcrops:apple,未确认,未确认,不可据此补种,暂未找到种子映射
6,大蒜,customcrops:garlic,minecraft:paper,82168,已确认,自定义种子
7,卷心菜,customcrops:cabbage,minecraft:paper,821330,已确认,自定义种子
8,橙子,customcrops:orange,minecraft:paper,82193,已确认,自定义种子
9,番茄,customcrops:tomato,minecraft:paper,82230,已确认,自定义种子
10,红木蘑菇,customcrops:rosewood_mushrooms,minecraft:paper,82213,已确认,自定义种子
11,生菜,customcrops:lettuce,minecraft:paper,82183,已确认,自定义种子
12,金针菇,customcrops:enoki,minecraft:paper,821480,已确认,自定义种子
13,香蕉,customcrops:banana,minecraft:paper,821160,已确认,自定义种子
14,茄子,customcrops:eggplant,minecraft:paper,821430,已确认,自定义种子
15,大紫蘑菇,customcrops:agaricus_augustus,minecraft:paper,82101,已确认,自定义种子
16,草莓,customcrops:strawberry,minecraft:paper,82225,已确认,自定义种子
17,辣椒,customcrops:pepper,minecraft:paper,82198,已确认,自定义种子
18,林地蘑菇,customcrops:agaricus_silvaticus_schaeff,minecraft:paper,82106,已确认,自定义种子
19,大胡萝卜,customcrops:bigcarrot,minecraft:paper,821230,已确认,自定义种子
20,菠萝,customcrops:ttl_pineapple,minecraft:paper,82240,已确认,自定义种子
21,石榴,customcrops:promegranate,minecraft:paper,822080,已确认,自定义种子
22,蓝莓,customcrops:blueberry,minecraft:paper,821280,已确认,自定义种子
23,葡萄,customcrops:ttl_grape,minecraft:paper,82235,已确认,自定义种子
24,啤酒花,customcrops:hop,minecraft:paper,82173,已确认,自定义种子
25,白萝卜,customcrops:moolis,minecraft:paper,82188,已确认,自定义种子
26,香菇,customcrops:lentinus_edodes,minecraft:paper,82178,已确认,自定义种子
